EAN	COD. INVENTARIO	COD. COMERCIAL	DESCRIPCION	EAN	EMPRESA	MARCA	MERCADO	NEGOCIO	CATEGORIA CALIDAD	TIPO FABRICACION	TIPO MERCADO
07798083386083	26LV2500	9126LV2500	LED 26" LG-SERIE LV2500	07798083386083	NEW SAN S.A.	LG	LG RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
07798083388100	26MA33D	9126MA33DF	Monitor TV 26MA33D LED TV 26"	07798083388100	NEW SAN S.A.	LG	RETAIL	MONITORES DE PC	PRIMERA	CKD	SA
08806091070913	28LT525S	9428LT525S	MONITOR SMART HD CON SINTONIZADOR	08806091070913	NEW SAN S.A.	LG	LG RETAIL	DISPLAYS	PRIMERA	CBU	SA
08806098166299	28MT49SPS	9428MT49SPS	28 TV MONITOR HD	08806098166299	NEW SAN S.A.	LG	LG RETAIL	DISPLAYS	PRIMERA	CBU	SA
07796923267356	29TC629	9129TC629F	TV COLOR 29" STEREO NOBLEX	07796923267356	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	SA	SA
07796962606567	29TC656F	9129TC656F	TV COLOR 29" FLAT NOBLEX	07796962606567	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796923606650	29TC664FX	9129TC664FXF	TV COLOR 29" FLAT NOBLEX	07796923606650	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	SA
07796923606650	29TC665X	9129TC665XF	TV COLOR 29" NOBLEX	07796923606650	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	SA
07796962606680	29TC668F	9129TC668F	TV  29" FLAT STEREO NOBLEX	07796962606680	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962606758	29TC675	9129TC675	TV 29" STEREO NOBLEX	07796962606758	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962606765	29TC676F	9129TC676F	TV  29" FLAT STEREO NOBLEX	07796962606765	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962606796	29TC679F	9129TC679F	TV  29" FLAT  NOBLEX	07796962606796	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962606802	29TC680U	9129TC680U	TV  29" SLIM  NOBLEX	07796962606802	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962296812	29TC681F	9129TC681F	TV 29" FLAT STEREO   NOBLEX	07796962296812	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962991779	32A421GSV	9132A421GSV	TV HISENSE 32"	07796962991779	NEW SAN S.A.	HISENSE	RETAIL	DISPLAYS	PRIMERA	CKD	SA
04905524740400	32BX325	9132BX325	LCD SONY BRAVIA 32" WXGA	04905524740400	NEW SAN S.A.	SONY	RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
04905524830477	32BX355	9132BX355	LCD SONY BRAVIA KDL-32BX355	04905524830477	NEW SAN S.A.	SONY	RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
04905524740424	32BX425	9132BX425	LCD SONY BRAVIA 32" FULL HD	04905524740424	NEW SAN S.A.	SONY	RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
-	32CS460S	9132CS460S	LCD LG 32" Serie CS460	-	NEW SAN S.A.	LG	LG RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
07798083387110	32CS560SD	9132CS560SD	LCD LG 32" Full HD Serie CS560	07798083387110	NEW SAN S.A.	LG	LG RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
04905524846881	32EX355	9132EX355	LED SONY BRAVIA KDL-32EX355	04905524846881	NEW SAN S.A.	SONY	RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
-	32EX655	9132EX655	LED SONY BRAVIA KDL-32EX655	-	NEW SAN S.A.	SONY	RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
-	32HDILO	9132HDILO	LED TV 32 HD ILO	-	NEW SAN S.A.	ILO	RETAIL	DISPLAYS	PRIMERA	SA	PROPIA
-	32HDN10	9132HDN10	LED TV 32 HD	-	NEW SAN S.A.	GENERAL	RETAIL	DISPLAYS	PRIMERA	CKD	SA
-	32HDNBX	9132HDNBX	LED TV 32 HD Noblex	-	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	SA	PROPIA
-	32HDPHI	9132HDPHI	LED TV 32 HD Philco	-	NEW SAN S.A.	PHILCO	RETAIL	DISPLAYS	PRIMERA	SA	PROPIA
-	32HDSYO	9132HDSYO	LED TV 32 HD Sanyo	-	NEW SAN S.A.	SANYO	RETAIL	DISPLAYS	PRIMERA	SA	PROPIA
-	32IPNBX	9132IPNBX	LED TV 32 IPTV Noblex	-	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	SA	PROPIA
-	32IPNBX2	9132IPNBX2	32IPTV SKYWORTH NOBLEX	-	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
-	32IPPHI	9132IPPHI	LED TV 32 IPTV Philco	-	NEW SAN S.A.	PHILCO	RETAIL	DISPLAYS	PRIMERA	SA	PROPIA
-	32IPSYO	9132IPSYO	LED TV 32 IPTV Sanyo	-	NEW SAN S.A.	SANYO	RETAIL	DISPLAYS	PRIMERA	SA	PROPIA
-	32IPSYO2	9132IPSYO2	32IPTV SKYWORTH SANYO	-	NEW SAN S.A.	SANYO	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07798083388254	32LA613B	9132LA613B	TV LG 32" LED 2013	07798083388254	NEW SAN S.A.	LG	LG RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
07798083389855	32LB560B	9132LB560B	TV LG 32 2014	07798083389855	NEW SAN S.A.	LG	LG RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
07798083389732	32LB580B	9132LB580B	TV LG 32 HD Smart 2014	07798083389732	NEW SAN S.A.	LG	LG RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
07796962608028	32LC802	9132LC802	TV COLOR 32" LCD NOBLEX	07796962608028	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962603252	32LC813H	9132LC813H	TV COLOR 32" LCD HD NOBLEX	07796962603252	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962603283	32LC815H	9132LC815H	TV COLOR 32" LCD HD NOBLEX	07796962603283	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962613244	32LC818H	9132LC818H	TV COLOR 32" LCD HD NOBLEX	07796962613244	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962613282	32LC820H	9132LC820H	LCD  32" HD  NOBLEX	07796962613282	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962613299	32LC821F	9132LC821F	LCD  32" FULL  HD  NOBLEX	07796962613299	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
